id,identifier,name,type_id,damage_class_id,damage,energy,accuracy,summary,description,target,category
262,memento,Memento,16,3,,13,100,Knocks the user out.  Minimizes the target's Attack and Special Attack and lowers its Speed by two stages.,"The user sacrifices all its remaining health and energy to cast a dark pall over the opponent, leaving the enemy pokémon in a state where it no longer has the power to battle effectively. This attack reduces the target's attack and special attack to their minimum levels and makes the pokémon sluggish as well.",Single,"Stat modifier (special attack, attack)"
263,facade,Facade,1,1,7,4,100,Damage and energy cost are doubled if the user has a major status ailment.,"The user drops the brave facade it has constructed to deal with the pain of some major status infliction and releases its pent-up rage upon its opponent, brutally pummeling them and subjecting them to all kinds of torment.",Single,Contact
264,focus-punch,Focus Punch,7,1,15,9,100,Fails if the user takes damage before using this move.,"This is the ultimate ultimate fighting attack. The user spends significant time and energy charging up the attack, then releases a devastating punch. The user's fist, glowing with fighting energy, is impervious to damage during the attack, and slams into the foe with unparalleled force. However, if the focus of the user is broken for some reason before the punch strikes, the damage is significantly lowered or prevented altogether.",Single,Contact/Priority (-3)
265,smelling-salts,Smelling Salts,1,1,7,4,100,"Base damage rises if the target is paralyzed, depending on the severity.  Heals the target's paralysis.","The user slaps the opponent on both sides of its body, realigning joints that were disconnected by paralysis and shocking the opponent back into full use of its body. The more paralyzed the opponent is, the more manhandling is necessary to return them to normal functionality and, consequently, the more damage is dealt. The target is cured of paralysis if this attack is successful.",Single,Contact/Healing (status)
266,follow-me,Follow Me,1,3,,1,,Redirects opponents' single-target moves to the user this action.,"The user taunts the opponent and does everything they can to shift the center of attention to themselves, coaxing all targets to attack the it instead of any other viable targets on the field.",Multiple,Special/Priority 3
267,nature-power,Nature Power,1,3,-1,-1,,Uses another move depending on the arena.,"The user sharpens its natural senses, becoming more in tune with its surroundings. This allows it to utilize the raw materials of the arena in ways that it would not have before, enabling it to use attacks with which it might not normally be familiar. In an area of rocky terrain, for example, the user might be able to command the rocks as never before; in a cave, they might be able to shape the darkness into a usable projectile. Nature power, after its use, takes on the characteristics and effects of one of several different attacks. These attacks, with regard to terrain, are as follows: Grass (short, domesticated): Stun Spore; Grass (tall, wild): Razor Leaf; Sand: Earthquake; Rocky Ground: Rock Slide; Shallow Water (pond or shallower): Bubblebeam; Deep Water (lake or deeper): Surf; Underwater: Hydro Pump; Cave: Shadow Ball; Inside Buildings, Other: Swift. The terrain is assessed as being the area directly surrounding the user, as it is assumed that the natural features used to fuel it will be found in the immediate vicinity of the user.",Varies,Projectile/Status/Stat modifier
268,charge,Charge,5,3,,3,,Doubles the base damage of the user's Electric-type moves next action and raises its Special Defense by one stage.,"The builds up as much energy as they can within their body in preparation for some great attack in the near future. This also creates an energy barrier that will defend them from invasive energy attacks to some extent, slightly raising their special defense. This causes the user to spark with electrical power and the next electric-type attack they use to double in power. Charge cannot be stacked and its effects dissipate after three actions if no electrical attack is used.",Self,Special/Stat modifier (special defense)
269,taunt,Taunt,16,3,,4,100,Prevents the target from using non-damaging moves for three actions.,"The user taunts the opponent, infuriating it and causing it to be able to perform nothing but offensive attacks for the next three actions.",Single,Special
270,helping-hand,Helping Hand,1,3,,-1,,Multiplies the base damage of an ally's move by 1.5 this action.,"This attack is only useful in doubles or greater matches. The user wildly cheers one of its allies on, boosting the target's confidence and, consequently, the effectiveness of whatever move it chooses to use.",Single,Special/Priority 5
271,trick,Trick,11,3,,3,100,Swaps the user and target's held items.,"The user meddles with the foe's mind, deluding it into believing that the user has an item that it wants and causing it to willingly give up whatever it might be holding in exchange for it. If either the user or the target is holding an object or item of some sort, they exchange them or, in the case of only one pokémon holding an item, willingly give it away.",Single,Special
272,role-play,Role Play,11,3,,3,,Copies the target's ability.,"The pokémon selects an opponent and tries to get into the mindset--literally--of their selected character. Using its psychic powers, the pokémon behaves in a manner identical to its foe, adopting its mentality and battle style to the letter. The change is so profound that the attack will even copy the foe's special ability, overwriting the user's own, but unfortunately the user will act quite strangely until it is commanded to revert back to its normal self.",Single,Special
273,wish,Wish,1,3,,-1,,Restores 50% health after two to three actions to the user or whatever Pokémon has taken its place.,"The user makes a wish to Jirachi, asking for help. After two to three actions, its wish is granted and its health is restored by up to 50%.",Self,Healing (direct)
274,assist,Assist,1,3,,-1,,Uses a random move known by another Pokémon in the active squad.,"The pokémon recalls as best it can the techniques it has seen its teammates use during past battles and training sessions, then uses whichever strikes its fancy. In effect, the pokémon uses an attack selected at random from the movepools of the other pokémon in the trainer's active squad for the match.",Random,Random
